1WPmedium_1DB , editor , 0120 , 66.72564612326043 , 2720 , 240 , 33563 , .71507314602389536096
1WPmedium_1DB , editor , 0140 , 68.13780918727915 , 3205 , 898 , 38566 , 2.32847585956542031841
1WPmedium_1DB , editor , 0160 , 68.60675883256529 , 3898 , 1138 , 44663 , 2.54797035577547410608
1WPmedium_1DB , editor , 0180 , 76.8701923076923 , 3614 , 3227 , 47967 , 6.72754185168970333771
1WPmedium_1DB , editor , 0200 , 75.46022727272727 , 4424 , 3509 , 53124 , 6.60530080566222423010
1WPmedium_1DB , editor , 0220 , 77.71814671814671 , 4755 , 5089 , 60387 , 8.42731051385231920777
1WPmedium_1DB , editor , 0240 , 79.66167290886392 , 5242 , 5180 , 63809 , 8.11797708787161685655
1WPmedium_1DB , editor , 0260 , 82.75060827250608 , 5182 , 6229 , 68021 , 9.15746607665279840049
1WPmedium_1DB , editor , 0280 , 84.57456647398844 , 6034 , 7106 , 73157 , 9.71335620651475593586
1WPmedium_1DB , editor , 0300 , 87.04908675799086 , 5995 , 8249 , 76255 , 10.81765130155399645924
1WPmedium_1DB , editor , 0320 , 95.02235294117646 , 5825 , 11907 , 80769 , 14.74204212012034320098
1WPmedium_1DB , editor , 0340 , 97.18815331010452 , 5903 , 12509 , 83679 , 14.94879240908710668148
1WPmedium_1DB , editor , 0360 , 98.48597081930416 , 6319 , 12217 , 87751 , 13.92234846326537589315
1WPmedium_1DB , editor , 0380 , 91.86363636363636 , 7510 , 11572 , 90945 , 12.72417395128924074990
1WPmedium_1DB , editor , 0400 , 103.33543638275499 , 6901 , 16590 , 98272 , 16.88171605340280039075
1WPmedium_1DB , editor , 0420 , 102.66124109867752 , 7354 , 15557 , 100916 , 15.41579135122279915969
1WPmedium_1DB , editor , 0440 , 114 , 6598 , 20002 , 104196 , 19.19651426158393796306
1WPmedium_1DB , editor , 0460 , 105.16650808753568 , 7909 , 18683 , 110530 , 16.90310322989233692210
1WPmedium_1DB , editor , 0480 , 114.60252365930599 , 7223 , 20169 , 108987 , 18.50587684769743180379
1WPmedium_1DB , editor , 0500 , 115.78608515057113 , 7178 , 22337 , 111502 , 20.03282452332693583971
1WPmedium_1DB , shopmanager , 0020 , 34.71328671328671 , 94 , 10 , 9928 , .10072522159548751007
1WPmedium_1DB , shopmanager , 0040 , 68.83946488294315 , 148 , 16 , 20583 , .07773405237331778652
1WPmedium_1DB , shopmanager , 0060 , 80.99438202247191 , 494 , 33 , 28834 , .11444822085038496219
1WPmedium_1DB , shopmanager , 0080 , 89.76053215077606 , 973 , 36 , 40482 , .08892841262783459315
1WPmedium_1DB , shopmanager , 0100 , 85.37673611111111 , 1577 , 271 , 49177 , .55107062244545214226
1WPmedium_1DB , shopmanager , 0120 , 83.55182072829132 , 2151 , 534 , 59656 , .89513209065307764516
1WPmedium_1DB , shopmanager , 0140 , 85.94671623296159 , 2502 , 1751 , 69359 , 2.52454620164650586081
1WPmedium_1DB , shopmanager , 0160 , 85.72272727272727 , 2870 , 3264 , 75436 , 4.32684659844106262262
1WPmedium_1DB , shopmanager , 0180 , 81.93717816683831 , 3584 , 4029 , 79561 , 5.06403891353803999446
1WPmedium_1DB , shopmanager , 0200 , 85.8704761904762 , 3790 , 4626 , 90164 , 5.13065081407213522026
1WPmedium_1DB , shopmanager , 0220 , 89.10347903657448 , 4179 , 5342 , 99885 , 5.34815037292886819842
1WPmedium_1DB , shopmanager , 0260 , 96.56830601092896 , 4330 , 12384 , 106032 , 11.67949298325033952014
1WPmedium_1DB , shopmanager , 0280 , 101.41061946902654 , 4534 , 13016 , 114594 , 11.35836082168350873518
1WPmedium_1DB , shopmanager , 0300 , 103.35368956743002 , 4815 , 14721 , 121854 , 12.08085085430104879610
1WPmedium_1DB , shopmanager , 0320 , 104.17887563884156 , 5070 , 15603 , 122306 , 12.75734632806240086340
1WPmedium_1DB , shopmanager , 0340 , 107.86745098039216 , 5469 , 17203 , 137531 , 12.50845263976848855894
1WPmedium_1DB , shopmanager , 0360 , 106.27627388535032 , 5862 , 20580 , 133483 , 15.41769363889034558707
1WPmedium_1DB , shopmanager , 0380 , 113.15915915915916 , 5956 , 19909 , 150728 , 13.20856111671355023618
1WPmedium_1DB , shopmanager , 0400 , 107.92212267401791 , 6615 , 21376 , 156595 , 13.65049969666975318496
1WPmedium_1DB , shopmanager , 0420 , 115.47058823529412 , 6337 , 23518 , 157040 , 14.97580234335201222618
1WPmedium_1DB , shopmanager , 0440 , 123.35598455598456 , 5873 , 29175 , 159746 , 18.26336809685375533659
1WPmedium_1DB , shopmanager , 0460 , 125.04842428900845 , 6132 , 29122 , 162688 , 17.90052124311565696302
1WPmedium_1DB , shopmanager , 0480 , 122.15553977272727 , 6850 , 27169 , 171995 , 15.79638942992528852582
1WPmedium_1DB , shopmanager , 0500 , 123.76200873362446 , 6683 , 28818 , 170049 , 16.94688001693629483266
2WPmedium_1DB , author , 0020 , 33.64313725490196 , 109 , 14 , 8579 , .16318918288844853712
2WPmedium_1DB , author , 0040 , 67.56370656370656 , 128 , 22 , 17499 , .12572146979827418709
2WPmedium_1DB , author , 0060 , 96.66159695817491 , 155 , 35 , 25422 , .13767602863661395641
2WPmedium_1DB , author , 0080 , 123.84642857142858 , 195 , 50 , 34677 , .14418779017792773307
2WPmedium_1DB , author , 0100 , 146.91 , 337 , 55 , 44073 , .12479295713929162979
2WPmedium_1DB , author , 0120 , 154.05059523809524 , 540 , 72 , 51761 , .13910086744846506056
2WPmedium_1DB , author , 0140 , 162.96246648793564 , 769 , 72 , 60785 , .11845027556140495187
2WPmedium_1DB , author , 0160 , 164.51421800947867 , 1092 , 91 , 69425 , .13107670147641339575
2WPmedium_1DB , author , 0180 , 163.2537313432836 , 1424 , 134 , 76566 , .17501240759606091476
2WPmedium_1DB , author , 0200 , 159.841620626151 , 1708 , 192 , 86794 , .22121344793418899923
2WPmedium_1DB , author , 0220 , 156.80872483221478 , 2024 , 303 , 93458 , .32420980547411671552
2WPmedium_1DB , author , 0240 , 158.43313069908814 , 2265 , 385 , 104249 , .36930809887864631795
2WPmedium_1DB , author , 0260 , 153.3606102635229 , 2580 , 619 , 110573 , .55981116547439248279
2WPmedium_1DB , author , 0280 , 153.22692307692307 , 2764 , 865 , 119517 , .72374641264422634436
2WPmedium_1DB , author , 0300 , 153.59669811320754 , 3053 , 983 , 130250 , .75470249520153550863
2WPmedium_1DB , author , 0320 , 154.4468085106383 , 3436 , 1618 , 137921 , 1.17313534559639213752
2WPmedium_1DB , author , 0340 , 159.57997823721436 , 3432 , 1952 , 146654 , 1.33102404298553056854
2WPmedium_1DB , author , 0360 , 157.9251282051282 , 3827 , 3009 , 153977 , 1.95418796313735168239
2WPmedium_1DB , author , 0380 , 158.27649325626203 , 4048 , 3180 , 164291 , 1.93558989841196413680
2WPmedium_1DB , author , 0400 , 158.90284142988085 , 4259 , 5078 , 173363 , 2.92911405547896610003
2WPmedium_1DB , author , 0420 , 164.50735294117646 , 4345 , 6679 , 178984 , 3.73161846868993876547
2WPmedium_1DB , author , 0440 , 175.77431539187913 , 4357 , 9762 , 186145 , 5.24429879932310832952
2WPmedium_1DB , author , 0460 , 176.72201834862386 , 4554 , 12304 , 192627 , 6.38747423777559739808
2WPmedium_1DB , author , 0480 , 184.46245421245422 , 4568 , 15604 , 201433 , 7.74649635362626779127
2WPmedium_1DB , author , 0500 , 193.63805970149255 , 4434 , 19009 , 207580 , 9.15743327873590904711
2WPmedium_1DB , editor , 0020 , 28.682926829268293 , 117 , 0 , 5880 , 0
2WPmedium_1DB , editor , 0040 , 56.53846153846154 , 164 , 0 , 11760 , 0
